Month,Year,wellme,Discharge,TRMM,LST,Vegetation,Canopy,SoilMoisture,SWE,Thickness,Conductivity,Lat,Long,GRACE_TWSA,GWLA,DGWL_m
1,2004,Mt.Morris,20.35198215,27.56436808,-11.72396587,0.107015125,0.234766732,529.2525008,0.059707543,116.8254293,42.68084491,42.03088021,-89.46680381,-46.038092,-3212.654204,9.9243
1,2004,Olney,39.466953,125.114532,-4.461667,0.743016,0.219733,644.624512,0.014222,50.98615798,16.03925486,38.652613,-88.122262,50.698879,927.5745139,0.3143
1,2004,Peoria,26.28472712,28.53718136,-6.984080596,0.067837987,0.203496517,579.5745495,0.01639063,230.5888488,30.29344243,40.74529437,-89.50606312,-8.976518,,
1,2004,Perry,26.13830438,46.65772974,-4.472249281,0.001330329,0.156712555,584.650396,0.059045067,69.61666284,35.1238178,39.7904213,-90.622262,8.142459,2233.159547,0.6073
1,2004,RendLake,33.438636,105.1005,-2.412222,1.914645,0.153022,584.231262,0.014222,49.96639723,20.44530241,38.152613,-88.872262,50.698879,22.62297567,1.4645
1,2004,S.E.ILCollege,38.49500836,109.72174,-1.868280034,7.847991358,0.183665961,528.6301076,0.013754693,26.7466805,,37.7599857,-88.46756041,68.08697,716.1106667,0.7711
1,2004,Snicarte,30.885663,34.216089,-5.558611,0.875604,0.223644,561.812781,0.071111,157.8064065,67.65506536,40.152613,-90.122262,-13.778708,-64.75378723,11.8125
1,2004,SpartaEden,26.37781,108.07058,-0.479444,2.077754,0.157067,591.61259,0.021333,47.53983557,12.42788318,38.152613,-89.622262,40.420342,-373.7741379,2.4201
1,2004,Springfield,20.713774,81.763582,-3.844444,0.173611,0.295811,598.789124,0.031289,66.13090723,12.35046259,39.652613,-89.622262,13.110063,217.230102,1.6252
1,2004,St.Charles,22.332224,35.783563,-10.977778,0,0.243767,596.907518,0.098133,112.8158661,40.42392446,41.902613,-88.372262,-21.702071,-706.8106154,8.6399
1,2004,St.Peter,33.761864,110.441107,-4.288333,0.046274,0.196367,605.972758,0.061156,54.07055919,8.007969684,38.902613,-88.872262,50.698879,222.687931,0.6096
1,2004,Stelle,32.111658,41.447242,-9.446111,0,0.183744,579.799605,0.021333,112.8412602,14.8445014,40.902613,-88.122262,-3.559213,675.7907032,0.2208
1,2004,SWS,36.076205,115.484768,-1.441111,0.070232,0.149889,613.537571,0.028444,58.73428647,22.05608377,38.652613,-90.122262,27.274796,,
1,2005,Barry,20.02434623,186.5990115,-5.255724163,0,0.241061031,477.7077058,2.270348846,67.27772721,32.54321969,39.75778929,-90.622262,106.713835,303.8024727,3.2644
1,2005,Bellville,27.37613666,227.6894786,-0.882815017,0.179180684,0.153603635,518.2558401,1.024105687,53.08873159,25.26244164,38.52109241,-89.78808772,146.616317,1131.331028,0.3364
1,2005,BigBend,17.432203,110.181318,-9.141389,0,0.126644,453.518724,7.566222,151.7032217,74.76601622,41.652613,-90.122262,79.029164,,
1,2005,Bondville,25.772411,276.268318,-4.439722,0,0.162211,523.726739,3.787378,182.2472101,34.22539457,40.152613,-88.372262,79.798246,837.5919312,0.5901
1,2005,Boyleston,28.28742,215.235519,-1.943056,0.891029,0.227422,592.125671,4.462933,43.27882995,10.62352593,38.402613,-88.372262,158.61701,513.4707692,0.7407
1,2005,Brownstown,26.614617,219.337952,-4.552778,0.015425,0.158633,534.108948,1.541689,54.07055919,8.007969684,38.902613,-88.872262,158.61701,673.0333246,0.2877
1,2005,Carbondale,27.80809969,165.6684569,-0.937404391,4.046461209,0.218931996,609.9745049,9.105935313,43.86753473,8.636314476,37.74240261,-89.24478017,189.022103,,
1,2005,CrystalLake,16.378294,165.470638,-9.710833,0,0.211267,573.146111,7.721244,197.443757,31.88488981,42.152613,-88.372262,66.50442,-547.8636226,2.0208
1,2005,Dekalb,13.938205,154.41325,-8.046389,0,0.102189,551.65349,8.770844,138.3924483,28.95619436,41.902613,-88.872262,72.865255,333.9690248,0.7023
1,2005,DixonSprings,38.18637414,162.1388006,-0.867144162,12.41637048,0.19228669,554.5134083,4.045466601,21.01098864,,37.69445165,-88.63451125,196.863176,721.7325333,0.6614
1,2005,Fairfield,28.28742,215.235519,-1.943056,0.891029,0.227422,592.125671,4.462933,43.27882995,10.62352593,38.402613,-88.372262,158.61701,780.3413113,0.2806
1,2005,Fermi,24.22543863,165.3783463,-7.835277345,0,0.17420068,563.4371667,4.529162865,98.32130839,42.48972681,41.81105877,-88.25284525,72.865255,738.2486038,1.5027
1,2005,Freeport,16.73071117,150.6900022,-10.93511108,0,0.038729474,514.7629016,7.784547796,94.26013615,35.06365524,42.27922281,-89.71351458,69.83007,-608.0778914,6.1081
1,2005,Gale,14.453687,118.438423,-11.9275,0,0.043633,516.719435,6.0672,113.6952927,6.183636749,42.402613,-90.372262,70.753833,-281.0466207,6.6203
1,2005,GoodHope,14.467179,146.324989,-5.829444,0,0.255933,504.30913,4.905244,82.22838505,15.52540707,40.652613,-90.622262,92.163433,-2344.087846,4.2581
1,2005,Greenfield,17.42475052,212.1732686,-6.206571767,0,0.188944879,502.0826612,0.83253109,59.30343667,12.16386144,39.31818397,-90.22482828,106.870105,601.7110588,3.3772
1,2005,Janesville,30.40272135,233.7108494,-4.52451677,0,0.12575537,526.2868516,1.976881473,78.83670822,20.97618431,39.32451932,-88.2401593,106.46763,555.9014118,1.1125
1,2005,Kilbourne,25.788663,193.915932,-5.3075,0,0.217711,500.432153,2.618311,157.8064065,67.65506536,40.152613,-90.122262,92.163433,462.7464425,9.2594
1,2005,Monmouth,14.81685181,126.2871993,-6.786510865,0.003248071,0.204257742,469.7050287,5.650751964,83.93360094,14.78721648,40.91261418,-90.58640341,92.163433,663.1869762,2.4685
1,2005,Mt.Morris,17.53036565,151.0911986,-10.02634019,0,0.070468583,500.4213492,8.037205436,116.8254293,42.68084491,42.03088021,-89.46680381,69.83007,-1193.354204,7.905
1,2005,Olney,29.868405,224.646854,-2.8225,0.001641,0.274333,615.899543,8.376889,50.98615798,16.03925486,38.652613,-88.122262,158.61701,1070.021874,0.1718
